g,a,b
4.7,-1.831,-1.831
4.6,-1.831,-1.831
4.5,-1.83,-1.83
4.4,-1.83,-1.83
4.3,-1.828,-1.828
4.2,-1.828,-1.828
4.1,-1.825,-1.825
4.0,-2.098,-1.82
3.9,-2.352,-1.82
3.8,-2.616,-1.81
3.7,-2.882,-1.8
3.6,-3.156,-1.79
3.5,-3.436,-1.78
3.4,-3.722,-1.77
3.3,-4.014,-1.76
3.2,-4.312,-1.74
3.1,-4.618,-1.72
3.0,-4.93,-1.7
2.9,-5.25,-1.68
2.8,-5.576,-1.65
2.7,-5.908,-1.63
2.6,-6.248,-1.6
2.5,-6.594,-1.57
2.4,-6.948,-1.54
2.3,-7.31,-1.51
2.2,-7.678,-1.47
2.1,-8.052,-1.43
2.0,-8.436,-1.39
1.9,-8.826,-1.35
1.8,-9.226,-1.3
1.7,-9.63,-1.25
1.6,-10.036,-1.2
1.5,-10.464,-1.15
1.4,-10.892,-1.09
1.3,-11.332,-1.03
1.2,-11.78,-0.97
1.1,-12.236,-0.9
1.0,-12.7,-0.83
0.9,-13.17,-0.76
0.8,-13.65,-0.69
0.7,-14.14,-0.61
0.6,-14.638,-0.53
0.5,-15.142,-0.45
0.4,-15.66,-0.36
0.3,-16.182,-0.27
0.2,-16.722,-0.18
0.1,-17.262,-0.09
0.0,-17.818,0.0
