alpha,u1
-57.428,0.00313839739721081
-57.426,0.00289656016399182
-57.424,0.00266098049145761
-57.422,0.00241035287991291
-57.42,0.00214099570803628
-57.418,0.00185054069689352
-57.416,0.00153833827939794
-57.414,0.00120831063718497
-57.412,0.000874140397451353
-57.41,0.000563501613213761
-57.408,0.000312748884339325
-57.406,0.000145562433806353
-57.404,5.60279300866066E-5
-57.402,1.77502175281547E-5
-57.4,4.62478354973484E-6
-57.398,9.9071359633581E-7
-57.396,1.74486726324751E-7
-57.394,2.52653593382432E-8
-57.392,3.00767011400912E-9
-57.39,2.94354552560711E-10
-57.388,2.36934928427063E-11
-57.386,1.56729441702803E-12
-57.384,8.5270636077278E-14
-57.382,3.81217173824212E-15
-57.38,1.40184028834757E-16
