x0;y;w;alpha
0.0;;11.187;-17.799
0.01;2.366;11.192;-17.812
0.02;2.367;11.207;-17.854
0.03;2.37;11.232;-17.923
0.04;2.374;11.271;-18.021
0.05;2.379;11.319;-18.148
0.06;2.385;11.378;-18.306
0.07;2.393;11.449;-18.496
0.08;2.401;11.532;-18.719
0.09;2.411;11.628;-18.978
0.1;2.423;11.739;-19.275
0.11;2.435;11.863;-19.612
0.12;2.45;12.003;-19.994
0.13;2.466;12.16;-20.424
0.14;2.484;12.336;-20.906
0.15;2.503;12.531;-21.446
0.16;2.525;12.748;-22.05
0.17;2.548;12.989;-22.724
0.18;2.574;13.256;-23.476
0.19;2.603;13.552;-24.315
0.2;2.635;13.881;-25.251
0.21;2.669;14.246;-26.294
0.22;2.707;14.652;-27.456
0.23;2.748;15.102;-28.75
0.24;2.793;15.601;-30.19
0.25;2.842;16.156;-31.775
0.26;2.896;16.769;-33.524
0.27;2.954;17.447;-35.434
0.28;3.016;18.191;-37.498
0.29;3.082;19.003;-39.697
0.3;3.153;19.881;-41.999
0.31;3.227;20.822;-44.361
0.32;3.303;21.817;-46.73
0.33;3.381;22.859;-49.05
0.34;3.46;23.939;-51.269
0.35;3.539;25.046;-53.347
0.36;3.618;26.174;-55.259
0.37;3.696;27.318;-56.993
0.38;3.773;28.475;-58.552
0.39;3.85;29.646;-59.95
0.4;3.926;30.832;-61.206
0.41;4.002;32.036;-62.352
0.42;4.078;33.263;-63.393
0.43;4.154;34.519;-64.373
0.44;4.231;35.809;-65.305
0.45;4.309;37.142;-66.222
0.46;4.389;38.526;-67.141
0.47;4.47;39.968;-68.081
0.48;4.554;41.479;-69.059
0.49;4.64;43.068;-70.092
0.5;4.73;44.747;-71.194
0.51;4.823;46.526;-72.376
0.52;4.92;48.417;-73.65
0.53;5.022;50.435;-75.022
0.54;5.128;52.593;-76.501
0.55;5.239;54.905;-78.09
0.56;5.357;57.387;-79.794
0.57;5.48;60.055;-81.612
0.58;5.609;62.927;-83.547
0.59;5.746;66.022;-85.597
0.6;5.889;69.361;-87.764
0.61;6.04;72.966;-90.047
0.62;6.199;76.863;-92.451
0.63;6.367;81.083;-94.979
0.64;6.544;85.659;-97.641
0.65;6.732;90.632;-100.446
0.66;6.93;96.047;-103.408
0.67;7.14;101.96;-106.544
0.68;7.363;108.433;-109.871
0.69;7.601;115.542;-113.414
0.7;7.854;123.372;-117.192
0.71;8.125;132.03;-121.231
0.72;8.415;141.624;-125.559
0.73;8.727;152.309;-130.21
0.74;9.062;164.25;-135.218
0.75;9.425;177.653;-140.627
0.76;9.817;192.766;-146.486
0.77;10.244;209.892;-152.852
0.78;10.71;229.407;-159.803
0.79;11.22;251.775;-167.412
0.8;11.781;277.583;-175.784
0.81;12.401;307.57;-185.035
0.82;13.09;342.694;-195.315
0.83;13.86;384.197;-206.803
0.84;14.726;433.722;-219.729
0.85;15.708;493.479;-234.378
0.86;16.83;566.495;-251.119
0.87;18.125;656.999;-270.436
0.88;19.635;771.063;-332.923
0.9;23.562;1110.332;-351.568
0.91;26.18;1370.777;-390.628
0.92;29.452;1734.891;-439.459
0.93;33.66;2265.98;-502.239
0.94;39.27;3084.25;-585.945
0.95;47.124;4441.321;-703.134
0.96;58.905;6939.566;-878.918
0.97;78.54;12337.0;-1171.891
0.98;117.81;27758.27;-1757.837
0.99;235.62;111033.1;-3515.673
