gamma;w;alpha_c
0.0;11.187;-17.799
-0.1;11.324;-18.36
-0.2;11.46;-18.931
-0.3;11.594;-19.512
-0.4;11.727;-20.102
-0.5;11.858;-20.703
-0.6;11.988;-21.313
-0.7;12.117;-21.934
-0.8;12.244;-22.565
-0.9;12.37;-23.206
-1.0;12.496;-23.858
-1.1;12.619;-24.521
-1.2;12.742;-25.194
-1.3;12.864;-25.878
-1.4;12.984;-26.573
-1.5;13.104;-27.279
-1.6;13.222;-27.997
-1.7;13.34;-28.726
-1.8;13.456;-29.466
-1.9;13.572;-30.217
-2.0;13.687;-30.981
-2.1;13.801;-31.756
-2.2;13.914;-32.543
-2.3;14.026;-33.343
-2.4;14.137;-34.154
-2.5;14.248;-34.978
-2.6;14.357;-35.814
-2.7;14.466;-36.663
-2.8;14.575;-37.524
-2.9;14.682;-38.399
-3.0;14.789;-39.286
-3.1;14.895;-40.186
-3.2;15.0;-41.1
-3.3;15.105;-42.027
-3.4;15.209;-42.968
-3.5;15.312;-43.922
-3.6;15.415;-44.89
-3.7;15.517;-45.872
-3.8;15.618;-46.868
-3.9;15.719;-47.878
-4.0;15.82;-48.902
-4.1;15.919;-49.941
