gamma;w;alpha_c
4.1;1.52492;-2.0524
4.0;2.35452;-2.32636
3.9;2.96086;-2.60657
3.8;3.46327;-2.89311
3.7;3.90211;-3.18606
3.6;4.29692;-3.48553
3.5;4.65885;-3.79154
3.4;4.99507;-4.10418
3.3;5.31048;-4.42354
3.2;5.60857;-4.74971
3.1;5.89197;-5.08274
3.0;6.16272;-5.42275
2.9;6.4224;-5.76977
2.8;6.67229;-6.1239
2.7;6.91349;-6.48525
2.6;7.14684;-6.85386
2.5;7.37309;-7.22982
2.4;7.5929;-7.61325
2.3;7.80677;-8.00419
2.2;8.01521;-8.40274
2.1;8.21859;-8.80897
2.0;8.41734;-9.22302
1.9;8.61171;-9.6449
1.8;8.80202;-10.0747
1.7;8.98854;-10.5126
1.6;9.17148;-10.9587
1.5;9.35104;-11.4129
1.4;9.52744;-11.8754
1.3;9.70083;-12.3463
1.2;9.87137;-12.8257
1.1;10.0392;-13.3138
1.0;10.2045;-13.8104
0.9;10.3673;-14.3158
0.8;10.5278;-14.8301
0.7;10.686;-15.3534
0.6;10.8421;-15.8856
0.5;10.9962;-16.427
0.4;11.1483;-16.9777
0.3;11.2985;-17.5377
0.2;11.4469;-18.1071
0.1;11.5935;-18.686
0.0;11.739;-19.275
-0.1;11.8819;-19.8728
-0.2;12.0237;-20.481
-0.3;12.164;-21.099
-0.4;12.3028;-21.727
-0.5;12.4402;-22.3652
-0.6;12.5763;-23.0137
-0.7;12.711;-23.6724
-0.8;12.8445;-24.3416
-0.9;12.9767;-25.0213
-1.0;13.1077;-25.7117
-1.1;13.2376;-26.4129
-1.2;13.3663;-27.1249
-1.3;13.4939;-27.8479
-1.4;13.6204;-28.5819
-1.5;13.7459;-29.3273
-1.6;13.8704;-30.0838
-1.7;13.9939;-30.8518
-1.8;14.1164;-31.6313
-1.9;14.2379;-32.4224
-2.0;14.3586;-33.2253
-2.1;14.4784;-34.0401
-2.2;14.5972;-34.8668
-2.3;14.7153;-35.7057
-2.4;14.8325;-36.5567
-2.5;14.9489;-37.4201
-2.6;15.0644;-38.2959
-2.7;15.1792;-39.1843
-2.8;15.2933;-40.0855
-2.9;15.4066;-40.9994
-3.0;15.5192;-41.9262
-3.1;15.631;-42.8661
-3.2;15.7422;-43.8192
-3.3;15.8527;-44.7856
-3.4;15.9625;-45.7653
-3.5;16.0716;-46.7586
-3.6;16.1801;-47.7657
-3.7;16.288;-48.7865
-3.8;16.3952;-49.8213
-3.9;16.5018;-50.8702
-4.0;16.6079;-51.9332
-4.1;16.7133;-53.0105
