g,a,b
4.1,-15.008,-2.31
4.0,-16.026,-2.3
3.9,-17.006,-2.28
3.8,-17.956,-2.26
3.7,-18.878,-2.24
3.6,-19.78,-2.21
3.5,-20.664,-2.18
3.4,-21.536,-2.15
3.3,-22.394,-2.12
3.2,-23.238,-2.09
3.1,-24.074,-2.06
3.0,-24.9,-2.03
2.9,-25.72,-1.99
2.8,-26.532,-1.95
2.7,-27.342,-1.91
2.6,-28.152,-1.86
2.5,-28.958,-1.81
2.4,-29.76,-1.76
2.3,-30.558,-1.71
2.2,-31.358,-1.66
2.1,-32.156,-1.61
2.0,-32.952,-1.56
1.9,-33.746,-1.5
1.8,-34.538,-1.44
1.7,-35.332,-1.38
1.6,-36.13,-1.31
1.5,-36.928,-1.24
1.4,-37.722,-1.17
1.3,-38.514,-1.1
1.2,-39.314,-1.03
1.1,-40.114,-0.96
1.0,-40.916,-0.88
0.9,-41.716,-0.8
0.8,-42.526,-0.72
0.7,-43.346,-0.64
0.6,-44.174,-0.56
0.5,-44.998,-0.45
0.4,-45.82,-0.37
0.3,-46.642,-0.28
0.2,-47.472,-0.19
0.1,-48.302,-0.1
0.0,-49.142,0.0
-0.1,-49.98,0.1
-0.2,-50.822,0.21
-0.3,-51.672,0.32
-0.4,-52.526,0.43
-0.5,-53.38,0.54
-0.6,-54.24,0.65
-0.7,-55.106,0.76
-0.8,-55.976,0.88
-0.9,-56.848,1.0
-1.0,-57.726,1.12
-1.1,-58.608,1.24
-1.2,-59.496,1.37
-1.3,-60.386,1.5
-1.4,-61.28,1.63
-1.5,-62.18,1.76
-1.6,-63.09,1.9
-1.7,-64.004,2.04
-1.8,-64.918,2.18
-1.9,-65.84,2.32
-2.0,-66.746,2.47
-2.1,-67.668,2.62
-2.2,-68.606,2.77
-2.3,-69.564,2.92
-2.4,-70.534,3.08
-2.5,-71.492,3.24
-2.6,-72.452,3.4
-2.7,-73.41,3.56
-2.8,-74.374,3.73
-2.9,-75.344,3.9
-3.0,-76.326,4.07
-3.1,-77.316,4.24
-3.2,-78.314,4.42
-3.3,-79.324,4.6
-3.4,-80.34,4.78
-3.5,-81.356,4.96
-3.6,-82.376,5.15
-3.7,-83.4,5.34
-3.8,-84.43,5.53
-3.9,-85.462,5.72
-4.0,-86.504,5.92
-4.1,-87.554,6.12
