gamma;w;alpha_c
4.96;3.038632;-3.30788
4.9;6.990707;-6.88499
4.8;8.862766;-9.40089
4.7;10.02302;-11.1965
4.6;10.90847;-12.6855
4.5;11.64162;-13.9968
4.4;12.27618;-15.1906
4.3;12.84095;-16.3003
4.2;13.35327;-17.3467
4.1;13.82465;-18.3442
4.0;14.26293;-19.3025
3.9;14.67386;-20.2291
3.8;15.06178;-21.1295
3.7;15.42997;-22.0082
3.6;15.78108;-22.8686
3.5;16.11721;-23.7137
3.4;16.44006;-24.5456
3.3;16.75111;-25.3664
3.2;17.05149;-26.1778
3.1;17.34226;-26.9811
3.0;17.62425;-27.7775
2.9;17.89826;-28.5682
2.8;18.16491;-29.354
2.7;18.42477;-30.1357
2.6;18.67836;-30.9141
2.5;18.92611;-31.6898
2.4;19.16842;-32.4634
2.3;19.40565;-33.2354
2.2;19.63812;-34.0063
2.1;19.86612;-34.7764
2.0;20.0899;-35.5463
1.9;20.3097;-36.3161
1.8;20.52574;-37.0864
1.7;20.73821;-37.8572
1.6;20.94732;-38.629
1.5;21.1532;-39.402
1.4;21.35602;-40.1764
1.3;21.55593;-40.9524
1.2;21.75305;-41.7303
1.1;21.94751;-42.5103
1.0;22.13941;-43.2924
0.9;22.32888;-44.0769
0.8;22.51599;-44.864
0.7;22.70086;-45.6538
0.6;22.88356;-46.4464
0.5;23.06418;-47.242
0.4;23.24278;-48.0407
0.3;23.41946;-48.8427
0.2;23.59427;-49.6479
0.1;23.76726;-50.4567
0.0;23.939;-51.269
-0.1;24.1081;-52.0849
-0.2;24.27603;-52.9047
-0.3;24.4424;-53.7283
-0.4;24.60723;-54.5558
-0.5;24.77057;-55.3874
-0.6;24.93248;-56.223
-0.7;25.09297;-57.0629
-0.8;25.25212;-57.9071
-0.9;25.40994;-58.7556
-1.0;25.56647;-59.6086
-1.1;25.72176;-60.466
-1.2;25.87583;-61.328
-1.3;26.02871;-62.1947
-1.4;26.18043;-63.066
-1.5;26.33103;-63.9421
-1.6;26.48053;-64.8231
-1.7;26.62896;-65.7089
-1.8;26.77635;-66.5997
-1.9;26.9227;-67.4955
-2.0;27.06807;-68.3963
-2.1;27.21245;-69.3023
-2.2;27.35589;-70.2135
-2.3;27.49839;-71.1299
-2.4;27.63998;-72.0515
-2.5;27.78068;-72.9786
-2.6;27.9205;-73.911
-2.7;28.05946;-74.8488
-2.8;28.1976;-75.7921
-2.9;28.33491;-76.741
-3.0;28.47141;-77.6955
-3.1;28.60713;-78.6555
-3.2;28.74207;-79.6213
-3.3;28.87626;-80.5928
-3.4;29.0097;-81.5701
-3.5;29.14242;-82.5532
-3.6;29.27441;-83.5422
-3.7;29.4057;-84.537
-3.8;29.53631;-85.5378
-3.9;29.66623;-86.5447
-4.0;29.79549;-87.5575
-4.1;29.92409;-88.5765
