gamma;w;alpha_f
7.629131375;13.218143;-14.905437
7.62913;13.211323;-14.896844
7.6291;13.185429;-14.864232
7.629;13.151;-14.821
7.628;13.022;-14.659
7.627;12.948;-14.567
7.626;12.891;-14.496
7.62;12.66;-14.208
7.61;12.409;-13.899
7.6;12.22;-13.667
7.5;11.106;-12.32
7.4;10.387;-11.461
7.3;9.8;-10.766
7.2;9.283;-10.157
7.1;8.809;-9.602
7.0;8.363;-9.083
6.9;7.936;-8.591
6.8;7.521;-8.118
6.7;7.112;-7.659
6.6;6.705;-7.211
6.5;6.295;-6.771
6.4;5.878;-6.336
6.3;5.45;-5.906
6.2;5.004;-5.479
6.1;4.533;-5.054
6.0;4.025;-4.629
5.9;3.461;-4.205
5.8;2.805;-3.78
5.7;1.966;-3.353
5.61;0.581;-2.968
5.602;0.164;-2.934
5.6015;0.087;-2.931
5.6014;0.061;-2.931
5.60135;0.043;-2.93082
5.60134;0.038;-2.9308
5.60133;0.032;-2.9307
5.60132;0.025551721;-2.9306877
5.60131;0.016296928;-2.9306448
5.601303169;0.0010113851;-2.9306154
