gamma;alpha_c;alpha_u
4.1;-92.624;-8.36
4.0;-92.974;-7.76
3.9;-93.326;-7.24
3.8;-93.682;-6.78
3.7;-94.038;-6.36
3.6;-94.392;-5.98
3.5;-94.748;-5.62
3.4;-95.104;-5.3
3.3;-95.46;-5.0
3.2;-95.814;-4.72
3.1;-96.172;-4.46
3.0;-96.532;-4.22
2.9;-96.89;-4.0
2.8;-97.25;-3.78
2.7;-97.612;-3.57
2.6;-97.972;-3.37
2.5;-98.334;-3.18
2.4;-98.696;-3.0
2.3;-99.058;-2.83
2.2;-99.42;-2.66
2.1;-99.784;-2.5
2.0;-100.15;-2.35
1.9;-100.514;-2.2
1.8;-100.88;-2.06
1.7;-101.246;-1.92
1.6;-101.614;-1.79
1.5;-101.982;-1.66
1.4;-102.35;-1.53
1.3;-102.714;-1.4
1.2;-103.084;-1.28
1.1;-103.46;-1.16
1.0;-103.83;-1.04
0.9;-104.202;-0.92
0.8;-104.572;-0.81
0.7;-104.944;-0.7
0.6;-105.316;-0.6
0.5;-105.686;-0.49
0.4;-106.066;-0.39
0.3;-106.444;-0.29
0.2;-106.822;-0.19
0.1;-107.2;-0.09
0.0;-107.578;0.0
-0.1;-107.954;0.11
-0.2;-108.332;0.21
-0.3;-108.712;0.31
-0.4;-109.092;0.41
-0.5;-109.474;0.5
-0.6;-109.858;0.6
-0.7;-110.24;0.69
-0.8;-110.622;0.78
-0.9;-111.004;0.87
-1.0;-111.39;0.96
-1.1;-111.776;1.05
-1.2;-112.162;1.14
-1.3;-112.548;1.23
-1.4;-112.936;1.32
-1.5;-113.324;1.41
-1.6;-113.712;1.5
-1.7;-114.1;1.59
-1.8;-114.49;1.68
-1.9;-114.88;1.77
-2.0;-115.272;1.86
-2.1;-115.664;1.95
-2.2;-116.058;2.04
-2.3;-116.45;2.12
-2.4;-116.842;2.21
-2.5;-117.234;2.29
-2.6;-117.632;2.38
-2.7;-118.03;2.47
-2.8;-118.428;2.56
-2.9;-118.826;2.64
-3.0;-119.222;2.73
-3.1;-119.622;2.81
-3.2;-120.02;2.89
-3.3;-120.42;2.97
-3.4;-120.822;3.06
-3.5;-121.222;3.15
-3.6;-121.624;3.23
-3.7;-122.03;3.31
-3.8;-122.434;3.4
-3.9;-122.838;3.49
-4.0;-123.242;3.58
-4.1;-123.65;3.66
