gamma;w;alpha_c
9.003;13.496;-14.541
9.0;13.264;-14.299
8.9;11.854;-12.868
8.8;11.187;-12.203
8.7;10.674;-11.692
8.6;10.241;-11.258
8.5;9.857;-10.87
8.4;9.506;-10.513
8.3;9.179;-10.178
8.2;8.871;-9.859
8.1;8.577;-9.551
8.0;8.293;-9.253
7.9;8.017;-8.961
7.8;7.747;-8.675
7.7;7.481;-8.392
7.6;7.218;-8.111
7.5;6.957;-7.833
7.4;6.695;-7.555
7.3;6.432;-7.277
7.2;6.167;-7.0
7.1;5.897;-6.721
7.0;5.623;-6.442
6.9;5.341;-6.161
6.8;5.05;-5.878
6.7;4.748;-5.593
6.6;4.431;-5.305
6.5;4.095;-5.015
6.4;3.736;-4.722
6.3;3.344;-4.426
6.2;2.905;-4.127
6.1;2.395;-3.825
6.0;1.748;-3.518
5.9;0.633;-3.209
5.886;0.175;-3.165
