gamma;w;alpha_c
23.7172744;0.00488176132;-4.82265525
23.717;0.70415;-4.8311
23.7;3.2525;-5.0011
23.6;9.353;-6.2306
23.5;13.742;-7.7193
23.4;17.06;-9.1182
23.3;19.493;-10.276
23.2;21.37;-11.241
23.1;22.902;-12.073
23.0;24.205;-12.813
22.9;25.345;-13.484
22.8;26.365;-14.103
22.7;27.293;-14.681
22.6;28.146;-15.227
22.5;28.939;-15.745
22.4;29.681;-16.241
22.3;30.381;-16.718
22.2;31.044;-17.178
22.1;31.675;-17.624
22.0;32.278;-18.058
21.9;32.857;-18.48
21.8;33.413;-18.893
21.7;33.95;-19.297
21.6;34.468;-19.693
21.5;34.97;-20.082
21.4;35.457;-20.464
21.3;35.931;-20.841
21.2;36.392;-21.213
21.1;36.841;-21.579
21.0;37.279;-21.942
20.9;37.707;-22.3
20.8;38.126;-22.654
20.7;38.535;-23.005
20.6;38.937;-23.352
20.5;39.331;-23.697
20.4;39.717;-24.039
20.3;40.096;-24.379
20.2;40.469;-24.716
20.1;40.835;-25.051
20.0;41.196;-25.384
19.9;41.551;-25.715
19.8;41.9;-26.044
19.7;42.244;-26.372
19.6;42.584;-26.698
19.5;42.918;-27.023
19.4;43.249;-27.346
19.3;43.575;-27.668
19.2;43.896;-27.989
19.1;44.214;-28.309
19.0;44.528;-28.628
18.9;44.838;-28.947
18.8;45.145;-29.264
18.7;45.448;-29.58
18.6;45.748;-29.896
18.5;46.045;-30.211
18.4;46.339;-30.526
18.3;46.63;-30.84
18.2;46.918;-31.153
18.1;47.203;-31.467
18.0;47.485;-31.779
17.9;47.765;-32.092
17.8;48.042;-32.403
17.7;48.317;-32.715
17.6;48.589;-33.026
17.5;48.859;-33.338
17.4;49.127;-33.648
17.3;49.393;-33.959
17.2;49.656;-34.27
17.1;49.918;-34.58
17.0;50.177;-34.891
16.9;50.434;-35.201
16.8;50.69;-35.512
16.7;50.943;-35.822
16.6;51.195;-36.132
16.5;51.444;-36.443
16.4;51.693;-36.753
16.3;51.939;-37.064
16.2;52.184;-37.374
16.1;52.427;-37.685
16.0;52.668;-37.996
15.9;52.908;-38.307
15.8;53.146;-38.618
15.7;53.383;-38.929
15.6;53.619;-39.241
15.5;53.853;-39.553
15.4;54.085;-39.865
15.3;54.316;-40.177
15.2;54.546;-40.49
15.1;54.774;-40.802
15.0;55.002;-41.116
14.9;55.227;-41.429
14.8;55.452;-41.743
14.7;55.675;-42.057
14.6;55.898;-42.371
14.5;56.119;-42.686
14.4;56.338;-43.001
14.3;56.557;-43.316
14.2;56.775;-43.632
14.1;56.991;-43.948
14.0;57.206;-44.265
13.9;57.421;-44.582
13.8;57.634;-44.899
13.7;57.846;-45.217
13.6;58.057;-45.535
13.5;58.268;-45.854
13.4;58.477;-46.173
13.3;58.685;-46.493
13.2;58.892;-46.813
13.1;59.099;-47.133
13.0;59.304;-47.454
12.9;59.508;-47.776
12.8;59.712;-48.098
12.7;59.915;-48.42
12.6;60.117;-48.743
12.5;60.318;-49.067
12.4;60.518;-49.391
12.3;60.717;-49.715
12.2;60.916;-50.04
12.1;61.113;-50.366
12.0;61.31;-50.692
11.9;61.506;-51.019
11.8;61.702;-51.346
11.7;61.896;-51.674
11.6;62.09;-52.003
11.5;62.283;-52.332
11.4;62.475;-52.661
11.3;62.667;-52.991
11.2;62.858;-53.322
11.1;63.048;-53.654
11.0;63.237;-53.986
10.9;63.426;-54.318
10.8;63.614;-54.651
10.7;63.801;-54.985
10.6;63.988;-55.32
10.5;64.174;-55.655
10.4;64.36;-55.99
10.3;64.544;-56.327
10.2;64.729;-56.664
10.1;64.912;-57.001
10.0;65.095;-57.339
9.9;65.277;-57.678
9.8;65.459;-58.018
9.7;65.64;-58.358
9.6;65.82;-58.699
9.5;66.0;-59.04
9.4;66.18;-59.383
9.3;66.358;-59.726
9.2;66.536;-60.069
9.1;66.714;-60.413
9.0;66.891;-60.758
8.9;67.067;-61.104
8.8;67.243;-61.45
8.7;67.419;-61.797
8.6;67.594;-62.145
8.5;67.768;-62.493
8.4;67.942;-62.842
8.3;68.115;-63.192
8.2;68.288;-63.543
8.1;68.46;-63.894
8.0;68.632;-64.246
7.9;68.803;-64.599
7.8;68.974;-64.952
7.7;69.145;-65.306
7.6;69.314;-65.661
7.5;69.484;-66.017
7.4;69.653;-66.373
7.3;69.821;-66.73
7.2;69.989;-67.088
7.1;70.156;-67.447
7.0;70.323;-67.806
6.9;70.49;-68.166
6.8;70.656;-68.527
6.7;70.822;-68.889
6.6;70.987;-69.251
6.5;71.152;-69.614
6.4;71.316;-69.978
6.3;71.48;-70.343
6.2;71.644;-70.708
6.1;71.807;-71.075
6.0;71.97;-71.442
5.9;72.132;-71.809
5.8;72.294;-72.178
5.7;72.455;-72.547
5.6;72.617;-72.918
5.5;72.777;-73.289
5.4;72.937;-73.66
5.3;73.097;-74.033
