gamma;w;alpha_f
51.87288486;35.5595491;-14.2149853
51.8728848;35.554957;-14.2137413
51.872884;35.5379404;-14.2091326
51.87288;35.5057501;-14.2004188
51.8728;35.3285183;-14.1525501
51.872;34.8054031;-14.0123209 
51.87;34.1875769;-13.8487531
51.8;28.1599251;-12.3735621
51.7;23.4045465;-11.3740128
51.6;19.2910944;-10.6368109
51.5;15.1243517;-10.0199838
51.4;10.2416389;-9.47534291
51.31;2.23584283;-9.02735459
51.307;1.34989601;-9.01297307
51.306;0.874806269;-9.00818636
51.3053;0.161317964;-9.00483777
51.30528;0.0700627011;-9.00474213
51.305276;0.0261916434;-9.004723
51.3052754;0.00725;-9.00472013
51.30527536;0.00321462065;-9.00471994
